"Ensembl","GeneName","GSM776959","GSM776960","GSM776961","GSM776962","GSM776963","GSM776964","GSM776965","GSM776966","GSM776971","GSM776972","GSM776973","GSM776974"
"ENSG00000137962","ARHGAP29","4050.6","2415.4","2536.4","1905.9","1947.4","3097.1","1685.8","2155.9","4724.8","4555.8","4949.5","1752"
"ENSG00000076864","RAP1GAP","148.3","115.5","32.3","40.9","56.4","29.8","17.3","67.6","45.4","28.4","33.8","97.4"
"ENSG00000013563","DNASE1L1","293.9","208.9","319.2","601.9","470.3","581.1","365.3","764.4","343.7","405.4","997.6","490.1"
"ENSG00000164120","HPGD","51.7","24.9","184.6","469.5","21.3","25.5","19.9","23.2","57.8","16.2","106","9.9"
"ENSG00000138755","CXCL9","57.2","39.1","23.8","141.7","7.2","35.8","4.3","30","11.1","10.5","8.1","8.4"
"ENSG00000166507","NDST2","254.3","196.3","388","325.4","404.8","493.4","246.1","217","553.7","414.7","1145.3","263"
"ENSG00000272916","AC022400.6","254.3","196.3","388","325.4","404.8","493.4","246.1","217","553.7","414.7","1145.3","263"
"ENSG00000154639","CXADR","6768.8","5653.7","3057.4","384.1","17.9","59.4","35.2","76.8","134.9","35.9","90.9","14.5"
"ENSG00000156453","PCDH1","35.2","14.2","23.3","29","18","10.4","69.3","11","26.9","24.4","7.4","58.2"
"ENSG00000171703","TCEA2","192.9","306.6","793.2","981.3","374.9","518","531.8","350.7","745.6","463.3","443.1","413"
"ENSG00000025434","NR1H3","95.4","81","285.6","741.4","66.2","81.5","59.2","90.8","243.4","66","197.5","49"
"ENSG00000175040","CHST2","1173.6","1538.7","517.6","322.1","585.3","1099.9","903.3","678.1","549.3","604.4","542.6","562.6"
"ENSG00000165168","CYBB","86.9","9.3","94.9","62.4","5.9","50","22.6","22","17.1","47.4","118","17"
"ENSG00000243955","GSTA1","5.9","60.9","3.8","5.6","60","50.9","1662","193.4","8.2","2","5.3","45"
"ENSG00000023909","GCLM","1104.5","958.9","645.4","239.9","1275.5","1716.6","2057.6","1426.4","1351.9","1340.5","1479","1310.9"
"ENSG00000099624","ATP5F1D","257.4","102.9","153.9","221.1","206.9","238.5","190.9","324.3","158","218.2","481.1","254.8"
"ENSG00000146232","NFKBIE","95.6","90.5","172.1","161.2","65.5","160.3","139.4","125.1","229.2","132.9","500.6","104.1"
